#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density	bases
1	p	ter	0	1	0	0			1
1	p		0	7335	1	124300000			124300000
1	p	3	0	4852	1	84700000			84700000
1	p	36	0	1521	1	27800000			27800000
1	p	36.3	0	344	1	7100000			7100000
1	p	36.33	0	100	1	2300000	gneg		2300000
1	p	36.33b	0	50	1	1150001	gneg		1150001
1	p	36.33a	51	100	1150002	2300000	gneg		1149999
1	p	36.32	100	244	2300000	5300000	gpos	25	3000001
1	p	36.32c	100	148	2300000	3300000	gpos	25	1000001
1	p	36.32b	149	196	3300001	4300000	gpos	25	1000000
1	p	36.32a	197	244	4300001	5300000	gpos	25	1000000
1	p	36.31	244	344	5300000	7100000	gneg		1800001
1	p	36.31b	244	294	5300000	6200000	gneg		900001
1	p	36.31a	295	344	6200001	7100000	gneg		900000
1	p	36.2	344	861	7100000	16100000			9000001
1	p	36.23	344	459	7100000	9200000	gpos	25	2100001
1	p	36.23b	344	402	7100000	8150000	gpos	25	1050001
1	p	36.23a	403	459	8150001	9200000	gpos	25	1050000
1	p	36.22	459	660	9200000	12600000	gneg		3400001
1	p	36.22d	459	509	9200000	10050000	gneg		850001
1	p	36.22c	510	560	10050001	10900000	gneg		850000
1	p	36.22b	561	610	10900001	11750000	gneg		850000
1	p	36.22a	611	660	11750001	12600000	gneg		850000
1	p	36.21	660	861	12600000	16100000	gpos	50	3500001
1	p	36.21d	660	710	12600000	13475000	gpos	50	875001
1	p	36.21c	711	761	13475001	14350000	gpos	50	875000
1	p	36.21b	762	811	14350001	15225000	gpos	50	875000
1	p	36.21a	812	861	15225001	16100000	gpos	50	875000
1	p	36.1	861	1521	16100000	27800000			11700001
1	p	36.13	861	1206	16100000	20300000	gneg		4200001
1	p	36.13f	861	919	16100000	16800000	gneg		700001
1	p	36.13e	920	976	16800001	17500000	gneg		700000
1	p	36.13d	977	1034	17500001	18200000	gneg		700000
1	p	36.13c	1035	1091	18200001	18900000	gneg		700000
1	p	36.13b	1092	1149	18900001	19600000	gneg		700000
1	p	36.13a	1150	1206	19600001	20300000	gneg		700000
1	p	36.12	1206	1321	20300000	23800000	gpos	25	3500001
1	p	36.12b	1206	1264	20300000	22050000	gpos	25	1750001
1	p	36.12a	1265	1321	22050001	23800000	gpos	25	1750000
1	p	36.11	1321	1521	23800000	27800000	gneg		4000001
1	p	36.11d	1321	1371	23800000	24800000	gneg		1000001
1	p	36.11c	1372	1421	24800001	25800000	gneg		1000000
1	p	36.11b	1422	1471	25800001	26800000	gneg		1000000
1	p	36.11a	1472	1521	26800001	27800000	gneg		1000000
1	p	35	1521	1895	27800000	34400000			6600001
1	p	35.3	1521	1651	27800000	30000000	gpos	25	2200001
1	p	35.3b	1521	1586	27800000	28900000	gpos	25	1100001
1	p	35.3a	1587	1651	28900001	30000000	gpos	25	1100000
1	p	35.2	1651	1780	30000000	32200000	gneg		2200001
1	p	35.2b	1651	1716	30000000	31100000	gneg		1100001
1	p	35.2a	1717	1780	31100001	32200000	gneg		1100000
1	p	35.1	1780	1895	32200000	34400000	gpos	25	2200001
1	p	35.1b	1780	1838	32200000	33300000	gpos	25	1100001
1	p	35.1a	1839	1895	33300001	34400000	gpos	25	1100000
1	p	34	1895	2770	34400000	46500000			12100001
1	p	34.3	1895	2210	34400000	39600000	gneg		5200001
1	p	34.3f	1895	1948	34400000	35266667	gneg		866668
1	p	34.3e	1949	2000	35266668	36133333	gneg		866666
1	p	34.3d	2001	2053	36133334	37000000	gneg		866667
1	p	34.3c	2054	2105	37000001	37866667	gneg		866667
1	p	34.3b	2106	2158	37866668	38733333	gneg		866666
1	p	34.3a	2159	2210	38733334	39600000	gneg		866667
1	p	34.2	2210	2411	39600000	43900000	gpos	25	4300001
1	p	34.2d	2210	2260	39600000	40675000	gpos	25	1075001
1	p	34.2c	2261	2311	40675001	41750000	gpos	25	1075000
1	p	34.2b	2312	2361	41750001	42825000	gpos	25	1075000
1	p	34.2a	2362	2411	42825001	43900000	gpos	25	1075000
1	p	34.1	2411	2770	43900000	46500000	gneg		2600001
1	p	34.1f	2411	2471	43900000	44333333	gneg		433334
1	p	34.1e	2472	2531	44333334	44766667	gneg		433334
1	p	34.1d	2532	2591	44766668	45200000	gneg		433333
1	p	34.1c	2592	2650	45200001	45633333	gneg		433333
1	p	34.1b	2651	2710	45633334	46066667	gneg		433334
1	p	34.1a	2711	2770	46066668	46500000	gneg		433333
1	p	33	2770	2986	46500000	51300000	gpos	75	4800001
1	p	33d	2770	2824	46500000	47700000	gpos	75	1200001
1	p	33c	2825	2878	47700001	48900000	gpos	75	1200000
1	p	33b	2879	2932	48900001	50100000	gpos	75	1200000
1	p	33a	2933	2986	50100001	51300000	gpos	75	1200000
1	p	32	2986	3732	51300000	60900000			9600001
1	p	32.3	2986	3273	51300000	56200000	gneg		4900001
1	p	32.3e	2986	3043	51300000	52280000	gneg		980001
1	p	32.3d	3044	3101	52280001	53260000	gneg		980000
1	p	32.3c	3102	3158	53260001	54240000	gneg		980000
1	p	32.3b	3159	3216	54240001	55220000	gneg		980000
1	p	32.3a	3217	3273	55220001	56200000	gneg		980000
1	p	32.2	3273	3416	56200000	58700000	gpos	50	2500001
1	p	32.2c	3273	3321	56200000	57033333	gpos	50	833334
1	p	32.2b	3322	3368	57033334	57866667	gpos	50	833334
1	p	32.2a	3369	3416	57866668	58700000	gpos	50	833333
1	p	32.1	3416	3732	58700000	60900000	gneg		2200001
1	p	32.1f	3416	3469	58700000	59066667	gneg		366668
1	p	32.1e	3470	3521	59066668	59433333	gneg		366666
1	p	32.1d	3522	3574	59433334	59800000	gneg		366667
1	p	32.1c	3575	3627	59800001	60166667	gneg		366667
1	p	32.1b	3628	3679	60166668	60533333	gneg		366666
1	p	32.1a	3680	3732	60533334	60900000	gneg		366667
1	p	31	3732	4852	60900000	84700000			23800001
1	p	31.3	3732	3976	60900000	68700000	gpos	50	7800001
1	p	31.3d	3732	3793	60900000	62850000	gpos	50	1950001
1	p	31.3c	3794	3854	62850001	64800000	gpos	50	1950000
1	p	31.3b	3855	3915	64800001	66750000	gpos	50	1950000
1	p	31.3a	3916	3976	66750001	68700000	gpos	50	1950000
1	p	31.2	3976	4206	68700000	69500000	gneg		800001
1	p	31.2d	3976	4034	68700000	68900000	gneg		200001
1	p	31.2c	4035	4091	68900001	69100000	gneg		200000
1	p	31.2b	4092	4149	69100001	69300000	gneg		200000
1	p	31.2a	4150	4206	69300001	69500000	gneg		200000
1	p	31.1	4206	4852	69500000	84700000	gpos	100	15200001
1	p	31.1k	4206	4265	69500000	70881818	gpos	100	1381819
1	p	31.1j	4266	4323	70881819	72263636	gpos	100	1381818
1	p	31.1i	4324	4382	72263637	73645455	gpos	100	1381819
1	p	31.1h	4383	4441	73645456	75027273	gpos	100	1381818
1	p	31.1g	4442	4500	75027274	76409091	gpos	100	1381818
1	p	31.1f	4501	4558	76409092	77790909	gpos	100	1381818
1	p	31.1e	4559	4617	77790910	79172727	gpos	100	1381818
1	p	31.1d	4618	4676	79172728	80554545	gpos	100	1381818
1	p	31.1c	4677	4735	80554546	81936364	gpos	100	1381819
1	p	31.1b	4736	4793	81936365	83318182	gpos	100	1381818
1	p	31.1a	4794	4852	83318183	84700000	gpos	100	1381818
1	p	2	4852	6244	84700000	107000000			22300001
1	p	22	4852	5741	84700000	94500000			9800001
1	p	22.3	4852	5210	84700000	88100000	gneg		3400001
1	p	22.3f	4852	4912	84700000	85266667	gneg		566668
1	p	22.3e	4913	4971	85266668	85833333	gneg		566666
1	p	22.3d	4972	5031	85833334	86400000	gneg		566667
1	p	22.3c	5032	5091	86400001	86966667	gneg		566667
1	p	22.3b	5092	5150	86966668	87533333	gneg		566666
1	p	22.3a	5151	5210	87533334	88100000	gneg		566667
1	p	22.2	5210	5440	88100000	92000000	gpos	75	3900001
1	p	22.2d	5210	5268	88100000	89075000	gpos	75	975001
1	p	22.2c	5269	5325	89075001	90050000	gpos	75	975000
1	p	22.2b	5326	5383	90050001	91025000	gpos	75	975000
1	p	22.2a	5384	5440	91025001	92000000	gpos	75	975000
1	p	22.1	5440	5741	92000000	94500000	gneg		2500001
1	p	22.1e	5440	5500	92000000	92500000	gneg		500001
1	p	22.1d	5501	5560	92500001	93000000	gneg		500000
1	p	22.1c	5561	5621	93000001	93500000	gneg		500000
1	p	22.1b	5622	5681	93500001	94000000	gneg		500000
1	p	22.1a	5682	5741	94000001	94500000	gneg		500000
1	p	21	5741	6244	94500000	107000000			12500001
1	p	21.3	5741	5957	94500000	99400000	gpos	75	4900001
1	p	21.3d	5741	5795	94500000	95725000	gpos	75	1225001
1	p	21.3c	5796	5849	95725001	96950000	gpos	75	1225000
1	p	21.3b	5850	5903	96950001	98175000	gpos	75	1225000
1	p	21.3a	5904	5957	98175001	99400000	gpos	75	1225000
1	p	21.2	5957	6029	99400000	102000000	gneg		2600001
1	p	21.2a	5957	6029	99400000	102000000	gneg		2600001
1	p	21.1	6029	6244	102000000	107000000	gpos	100	5000001
1	p	21.1d	6029	6083	102000000	103250000	gpos	100	1250001
1	p	21.1c	6084	6137	103250001	104500000	gpos	100	1250000
1	p	21.1b	6138	6190	104500001	105750000	gpos	100	1250000
1	p	21.1a	6191	6244	105750001	107000000	gpos	100	1250000
1	p	1	6244	7335	107000000	124300000			17300001
1	p	13	6244	6861	107000000	117600000			10600001
1	p	13.3	6244	6459	107000000	111600000	gneg		4600001
1	p	13.3d	6244	6298	107000000	108150000	gneg		1150001
1	p	13.3c	6299	6352	108150001	109300000	gneg		1150000
1	p	13.3b	6353	6405	109300001	110450000	gneg		1150000
1	p	13.3a	6406	6459	110450001	111600000	gneg		1150000
1	p	13.2	6459	6660	111600000	115900000	gpos	50	4300001
1	p	13.2d	6459	6509	111600000	112675000	gpos	50	1075001
1	p	13.2c	6510	6560	112675001	113750000	gpos	50	1075000
1	p	13.2b	6561	6610	113750001	114825000	gpos	50	1075000
1	p	13.2a	6611	6660	114825001	115900000	gpos	50	1075000
